,Strike,Expiry,Type,Last_y,Bid_y,Ask_y,Vol_y,Underlying_Price_y,TtM_y,Implied_vol_bis,BS_Price,Avr_Price
1981,248.5,2019-02-15,call,15.84,25.27,25.52,1.0,273.8,0.00821917808219178,0.5764688823157549,25.516502188069353,25.395
1982,248.5,2019-02-15,put,0.02,0.01,0.02,6.0,273.8,0.00821917808219178,0.3380412858963012,0.0016537299537869032,0.015
1983,248.5,2019-02-22,call,19.11,25.42,25.65,1.0,273.8,0.0273972602739726,0.34864294030100107,25.744199028258038,25.535
1984,248.5,2019-02-22,put,0.33,0.05,0.06,1.0,273.8,0.0273972602739726,0.24650310661435132,0.02961021378940032,0.055
1985,249.0,2019-02-13,call,21.25,24.76,25.03,2.0,273.8,0.0027397260273972603,0.7898283506751059,24.856098476153022,24.895000000000003
1986,249.0,2019-02-19,put,0.12,0.02,0.03,24.0,273.8,0.019178082191780823,0.25313792856454853,0.009038709912049359,0.025
1987,249.0,2019-02-20,put,0.07,0.03,0.04,17.0,273.8,0.021917808219178082,0.25173602932214734,0.01607616418843194,0.035
1988,249.0,2019-02-22,call,16.7,24.94,25.15,308.0,273.8,0.0273972602739726,0.34078166512966146,25.236222189619383,25.045
1989,249.0,2019-02-22,put,0.05,0.05,0.06,40.0,273.8,0.0273972602739726,0.24547504716992374,0.03321201296406917,0.055
1990,249.0,2019-02-25,call,20.87,24.93,25.2,7.0,273.8,0.03561643835616438,0.3040708890309929,25.30764637105517,25.064999999999998
1991,249.0,2019-02-25,put,0.12,0.07,0.08,21.0,273.8,0.03561643835616438,0.22733296893835067,0.04979489844823437,0.07500000000000001
1992,249.0,2019-02-27,call,20.5,24.99,25.23,8.0,273.8,0.0410958904109589,0.2992141008967161,25.429579782513713,25.11
1993,249.0,2019-02-27,put,0.2,0.1,0.11,1.0,273.8,0.0410958904109589,0.22736843365132808,0.08190655268723557,0.10500000000000001
1994,249.0,2019-03-01,call,22.14,25.14,25.34,1.0,273.8,0.04657534246575343,0.2873951723730564,25.502039103025083,25.240000000000002
1995,249.0,2019-03-01,put,0.16,0.15,0.16,2.0,273.8,0.04657534246575343,0.22944916922330857,0.12865089586345402,0.155
1996,249.0,2019-03-04,put,0.54,0.18,0.19,9.0,273.8,0.0547945205479452,0.21886107485592363,0.15602380344619693,0.185
1997,249.0,2019-03-06,call,21.34,21.98,22.38,7.0,273.8,0.06027397260273973,0.2119525487679243,25.329575516476808,22.18
1998,249.0,2019-03-06,put,0.24,0.22,0.23,10.0,273.8,0.06027397260273973,0.21860739785015584,0.20186560718306978,0.225
1999,249.0,2019-03-08,call,22.15,25.45,25.69,10.0,273.8,0.06575342465753424,0.2536039766162633,25.70775742918815,25.57
2000,249.0,2019-03-08,put,0.27,0.27,0.28,342.0,273.8,0.06575342465753424,0.21812945868879557,0.2505526898535422,0.275
2001,249.0,2019-03-13,put,0.4,0.37,0.38,1.0,273.8,0.07945205479452055,0.2111337311300635,0.3380214624706923,0.375
2002,249.0,2019-03-15,put,0.47,0.46,0.47,1373.0,273.8,0.08493150684931507,0.21702671473115684,0.4477104481260845,0.46499999999999997
